"original"	"varname"	"varnum"	"T"	"pval"	"rownum"
0.000578038810698002	"V1"	1	0.0984992545319065	0.921536543780882	32768
-0.000649551855464357	"PACALDtex_l"	2	-0.110685260517675	0.911866699527003	32768
0.00347353646336074	"PHEtex_l"	3	0.591902745627195	0.553920323488205	32768
-0.00195483202979256	"EX_ala_B_e_l"	4	-0.333108832556135	0.739054537365841	32768
0.00577920706517937	"TRPtex_l"	5	0.984807574374783	0.32472680496583	32768
0.0174741910195808	"TYMtex_l"	6	2.97809993179192	0.00290280922276853	32768
0.000562682686658596	"DINStex_l"	7	0.0958825318693123	0.923614529875418	32768
0.00697749252213275	"DMStex_l"	8	1.18901086778026	0.234445113622385	32768
0.00265987788572205	"BUTtex_l"	9	0.453251351084906	0.650371146337969	32768
0.00214664587892776	"F6PA_l"	10	0.365794591567501	0.714521020608676	32768
0.00324364715586766	"GUAtpp_l"	11	0.552728377910497	0.580453673185445	32768
-0.000694909116135775	"PPM2_l"	12	-0.118414254772355	0.905740250661037	32768
0.00164647414508355	"DMSOtex_l"	13	0.28056363279083	0.779047111673214	32768
-0.00637334275989867	"3GMPtex_l"	14	-1.08605537285253	0.277463510644017	32768
0.00372562609114932	"Ktex_l"	15	0.63486027478422	0.525524549978088	32768
-0.000332929526881691	"EX_5dglcn_e_l"	16	-0.056732015119799	0.954759061046274	32768
-0.00068077752832301	"MICITDr_copy1_l"	17	-0.116006195668892	0.907648433732321	32768
0.00189625784573908	"ACALD_l"	18	0.323127591705729	0.746600941793761	32768
-0.00284274303937979	"MLTP1_l"	19	-0.484412377938354	0.628096889284598	32768
0.00325550122957174	"CGLYtex_l"	20	0.554748373283115	0.579071056882914	32768
-0.000153559837591851	"EX_k_e_l"	21	-0.0261669751239883	0.979124336707398	32768
0.00151546035810873	"HISt2rpp_l"	22	0.258238476822336	0.796224694707781	32768
-0.00500213212813193	"HPPPNtex_l"	23	-0.852386307727896	0.394006747439997	32768
0.000244881717850007	"EX_5mtr_e_l"	24	0.041728449550141	0.966715461150318	32768
-0.00305787833748441	"ACGAL1Ptex_l"	25	-0.521072441857779	0.602320281331374	32768
0.0015600472327246	"GTHRDtex_l"	26	0.265836217104597	0.790367236585486	32768
-0.000666285664778887	"O2Stex_l"	27	-0.113536744721405	0.909605818252946	32768
0.00314299128693118	"EX_gua_e_l"	28	0.535576107369054	0.592255647021342	32768
0.00074173680878015	"ILEt2rpp_l"	29	0.126393815196712	0.899421072767337	32768
-0.00182094896949831	"12PPDStpp_l"	30	-0.310294707071132	0.756339082782452	32768
-0.000476241614658466	"QUIN2tex_l"	31	-0.0811527541672483	0.935321031546564	32768
0.00304404089065698	"HYXNtex_l"	32	0.518714473889066	0.603963819696753	32768
0.000278809446823917	"EX_csn_e_l"	33	0.0475098187867894	0.962107231651109	32768
0.00289313495015116	"EX_dmso_e_l"	34	0.492999389684029	0.622016746641556	32768
-0.00267697766745232	"ALLPI_l"	35	-0.456165227161251	0.648274579997452	32768
0.00146156730706364	"EX_trp__L_e_l"	36	0.249054937565325	0.80332004741651	32768
0.0030882486144666	"CYStex_l"	37	0.52624768522206	0.598720145458788	32768
-0.000356004963583469	"ACGALtex_l"	38	-0.0606641271095717	0.951627118956426	32768
-0.0020324463975867	"MANAO_l"	39	-0.346334590990369	0.729093784859156	32768
0.000599851016963223	"EX_h_e_l"	40	0.102216110175634	0.918585846476353	32768
-0.00245351885570132	"ACACT5r_l"	361	-0.418086918765656	0.675886660497072	32768
-0.0105055667054621	"VALtex_l"	362	-1.79027325663515	0.0734204080966494	32768
0.00203095270788217	"SUCRtex_l"	363	0.346080061007142	0.729285055038511	32768
0.000862029332196689	"GALAMtex_l"	364	0.14689197748846	0.883218304058615	32768
0.00242108472976395	"LCARS_l"	365	0.41256001451422	0.679932047936778	32768
0.0012680071048483	"EX_fe3hox_e_l"	366	0.216071709717827	0.828933368969994	32768
0.011821062710754	"HCO3E_l"	367	2.01447897619302	0.0439684718879034	32768
0.000630018746697273	"GDPtex_l"	368	0.107356768595313	0.914506691594702	32768
-0.000574334853659379	"EX_glyb_e_l"	369	-0.0978680908088071	0.922037713665267	32768
0.00165008129169268	"CTECOAI8_copy1_l"	370	0.281178301968733	0.778575649595824	32768
-0.00156795494070945	"NO2t2rpp_l"	371	-0.267183714980082	0.789329611579133	32768
0.000575121683806166	"ARABDI_l"	372	0.0980021686716072	0.921931247746262	32768
0.0100921169079596	"EX_ade_e_l"	373	1.71980918009343	0.0854777892654783	32768
-0.00274554026210891	"EX_cellb_e_l"	374	-0.467848591113754	0.639896380498946	32768
-0.00583678501846954	"4HOXPACDtex_l"	375	-0.994619496007422	0.319929649895994	32768
-0.00431277084633463	"EX_galam_e_l"	376	-0.734913616933146	0.462398039940015	32768
0.00191086346280511	"NH4tpp_l"	377	0.325616438380999	0.744716919689468	32768
-0.00306589406769951	"MELIBtex_l"	378	-0.52243836125188	0.601369138148369	32768
-0.00115688395751663	"EX_glyc_e_l"	379	-0.197136009736293	0.843722484403722	32768
0.000798380461246634	"DCYTtex_l"	380	0.136046041780013	0.8917858263223	32768
-0.00169352237858836	"3ntymex_l"	381	-0.288580801283914	0.772904248988363	32768
0.00277917892710394	"HPYRI_l"	382	0.473580768151383	0.635802452828819	32768
-0.00138263754193371	"NI2tex_l"	383	-0.235605070231924	0.813740800306958	32768
-0.00162771402000441	"ADEtex_l"	384	-0.27736684838636	0.781500409044007	32768
2.57925736445745e-05	"EX_adn_e_l"	385	0.00439511812328256	0.996493244589313	32768
